customer_id,tenure_months,total_spend,monthly_usage_hours,support_ticket_count,contract_type,payment_method,last_login,churn
1,39,4057.366760858578,78.13651053949488,1,yearly,debit_card,2024-01-07,0
2,52,3880.2193898120713,57.080511512217456,2,yearly,debit_card,2024-06-14,0
3,29,,56.25284109275058,1,yearly,credit_card,2024-01-04,0
4,15,4287.125635962672,13.382260902135274,1,yearly,paypal,2024-08-15,0
5,43,3447.560259875109,44.02426557639631,2,two_year,credit_card,,0
6,8,356.4310007732479,56.84882955636907,2,two_year,upi,2024-02-23,0
7,21,3935.9582281346215,48.88817843830895,0,monthly,upi,2024-09-08,1
8,39,,90.57429001790042,3,monthly,debit_card,2024-09-04,0
9,58,4015.502514282577,91.12041005135148,1,two_year,credit_card,2024-09-22,0
10,19,2591.547273009328,83.08215115593237,2,two_year,debit_card,2024-08-23,0
11,23,1241.2190093824602,40.6533171604464,2,yearly,paypal,2024-04-25,0
12,11,4242.116880874761,73.14341941031576,2,yearly,debit_card,2024-02-10,0
13,11,3663.0977677266783,42.55240380161293,1,monthly,upi,2024-09-19,0
14,24,4905.7297545053725,27.09639190269711,2,monthly,paypal,2024-07-02,1
15,53,862.8937290040712,37.575751137333754,4,monthly,debit_card,2024-01-20,0
16,36,1205.7564569550698,11.741640162125872,2,two_year,credit_card,2024-09-18,1
17,40,1137.810934419363,36.51886335544148,5,monthly,credit_card,2024-12-07,0
18,24,3983.4448613445497,48.7705106398113,3,two_year,debit_card,2024-09-10,0
19,3,1015.845752605579,95.77068500417884,2,two_year,debit_card,2024-01-16,1
20,22,426.6331661341999,34.77400569086437,2,monthly,upi,2024-09-28,0
21,53,4992.94795226958,90.73308622452446,2,two_year,upi,2024-04-07,0
22,2,221.60433608123083,26.74153620323222,5,two_year,credit_card,2024-01-03,0
23,24,,23.142045287128695,2,monthly,credit_card,2024-12-07,1
24,44,1890.2975235981987,54.30456836105567,0,monthly,debit_card,2024-10-10,0
25,30,4223.915752813295,68.88858008325357,7,monthly,upi,2024-04-11,1
26,38,2817.6404069346104,9.211563826216736,4,monthly,debit_card,2024-02-27,0
27,2,4517.993024483165,26.001257179485588,1,yearly,upi,2024-07-07,0
28,21,,48.28994831762506,5,yearly,credit_card,2024-04-15,0
29,33,144.5810882758024,36.44541191840224,0,yearly,paypal,2024-06-16,0
30,12,469.5196623646625,72.69900253809058,3,monthly,upi,2024-03-25,0
31,58,1326.757774897192,53.5602566239251,0,yearly,upi,2024-02-02,0
32,22,3379.645540181158,20.234115032370518,4,monthly,paypal,2024-08-07,0
33,44,4452.53376290638,89.9742110349336,2,yearly,upi,2024-10-10,0
34,25,2353.7155613404175,32.82603917091916,4,two_year,paypal,,0
35,49,3074.1682697439005,74.45745535162023,0,monthly,paypal,2024-08-10,0
36,27,1023.6492786982495,79.09199901501394,1,yearly,credit_card,2024-06-28,0
37,59,4044.337486020258,96.4999815243297,1,yearly,debit_card,2024-12-02,0
38,42,4839.907745632002,52.35820931978963,1,monthly,paypal,2024-03-18,1
39,28,1416.1347712815275,63.504373969121055,2,two_year,upi,2024-06-12,0
